Company,60B,59B,58B,57B,56B,55B,54B,53B,52B,51B,50B,49B,48B,47B,46B,45B,44B,43B,42B,41B,40B,39B,38B,37B,36B,35B,34B,33B,32B,31B,30B,29B,28B,27B,26B,25B,24B,23B,22B,21B,20B,19B,18B,17B,16B,15B,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A
TEVA,,,,,,,,,,,,,,,,,,,,,,,40802500,23626000,14440500,11806900,15935600,40020100,26393200,21747800,18898900,26518500,12780600,10220200,22053700,15847300,37016700,21745400,24607900,30494600,113804800,66141600,32664500,25882400,22214200,23138300,16124700,17829400,14201900,11386900,10559200,17464600,22766900,22939200,13273500,12056400,19476200,32640600,35280900,40555400,24637300,17033000,27964000,21428400,20759300,10181600,14828900,9374400,10299500,10368900,17896500,15044200,16406200,14592100,18607200,15922800,17121600,48797900,21763500,16654900,18881000,16911400,50279400,14772700,17815400,13951500,8477100,7269400,15048500,11122500,13330000,11166200,9735400,8323300,7106500,9575800,11729500,7848100,10327600,9741600,12239400,17089800,16837300,,,,,,,,,,,,,,,,,,
LGND,,,,,,,,,,,,,,,,,,,,,,,1441578,476732,287739,107561,277479,354423,246702,375262,274113,281166,228107,179055,329577,347050,270907,307616,288540,236923,623727,241252,393056,197650,149239,191078,184666,256320,181460,301524,235641,680153,188353,402353,281807,524662,225863,284052,266739,301845,416940,422391,804225,765112,698267,641360,363080,1190869,849911,504304,654184,678390,358431,532036,628216,637994,460382,437940,263854,288380,369652,219932,230511,276998,338233,332943,451084,337271,496930,418864,588782,620842,486350,599522,725999,923969,562172,785149,596957,689290,333424,1870541,,,,,,,,,,,,,,,,,,,
ZVRA,,,,,,,,,,,,,,,,,,,,,2725,2575,4850,3325,3063,8700,5406,5444,6513,6138,1256,7063,4775,3863,3763,9975,13425,5163,6194,3325,3875,5013,8813,13538,22250,18369,8425,6119,6356,4406,2606,4025,5631,4738,3369,8125,7375,18494,14725,24444,115688,45163,14294,8938,12338,15500,10794,6519,8975,20719,8931,6619,4544,3450,2888,4438,1981,8950,42331,12738,12450,8644,8956,8300,9719,15419,6369,3481,3219,8000,11150,10400,2163,1869,1656,3494,4794,2881,3050,5125,5613,,,,,,,,,,,,,,,,,,,,
PCRX,,,,,,,,,,,,,,,,,,,1276500,584200,810800,1588400,1505300,3059000,1109500,645600,401000,3918200,1119700,835200,845700,684400,640400,967900,1251400,1143300,723600,961800,1022200,528800,457400,451000,809200,1248800,853800,832000,1023400,2311300,957900,1466700,916200,823700,796800,610100,626400,789800,2208800,1376600,734400,1006100,8861800,3037600,1634900,1069300,1935800,1628700,1127500,698500,605200,492000,757300,457600,520100,1273800,441900,807400,480100,645400,803700,1118700,879400,344200,887700,839800,510000,440300,512500,497700,797300,484300,471700,575100,237400,500600,310900,308000,307800,263000,298600,486900,440500,,,,,,,,,,,,,,,,,,,,
RIGL,,,,,,,,,,,,,,,,,,,,,666700,979400,837700,802100,612900,929900,619700,1225400,817900,1027200,752700,1026800,4523500,2251900,1058400,1186200,1195900,886800,924400,1809000,1249100,1196800,1492400,1221200,1861800,1418100,2447300,2006900,2360800,1603600,10638300,3173400,2768300,3125000,3604100,1947100,2083100,19708100,3522700,3357100,4902500,18571000,12485600,15398300,7091900,2450500,2479500,1643300,1434800,1361000,3684000,3850200,2033300,3899800,1883100,2314300,1230900,1637800,1168300,1904300,1018500,1022000,870600,2157900,1265600,1160400,1157400,976100,765700,1912900,5244100,2263700,1548700,4454000,4820500,3024000,2336600,1592500,7011900,2653900,4405600,3460200,9335800,,,,,,,,,,,,,,,,,,
RARE,,,,,,,,,,,,,,,,,,,,,343700,797200,1183900,542200,534500,412300,312300,305900,571300,479100,519200,507400,495800,321000,381900,282800,394300,368000,590400,1795300,662800,364900,283800,306700,363300,384300,439400,294900,284300,472100,334800,301600,226100,351300,358000,600600,219300,245200,251800,336700,923600,835100,464600,561400,401300,319700,305300,320600,246000,222800,359100,262200,356700,311900,672400,688100,434500,541500,586700,775700,475900,1013400,530600,372500,775200,362800,423200,419800,432500,590200,1175400,653100,539200,504100,506600,642500,1002400,654400,416500,501400,528700,653200,1768000,,,,,,,,,,,,,,,,,,
BHC,,,,,,,,,,,,,,,,,,,,6363300,9852100,8383100,8596100,18705300,9572500,7036100,9535100,7460900,5269000,8573100,7129000,5600200,4312000,6287400,6485800,7804600,6340000,4410800,4121700,5982600,4672200,4072100,6240500,5028500,10802500,6274300,6963200,6898500,7464900,4933800,6386400,6478400,4866000,5269600,5664600,6301800,4046200,5720300,6538200,5478700,8132200,55117100,17024800,12022600,10885400,11348900,16189400,9462600,7761500,5488300,4726400,4496200,5988600,4636600,3470600,8664400,5338400,3678400,3990400,4783800,13037200,20968900,10730500,10602500,9461600,9160400,10925900,6969200,6070700,24556900,10253800,6792800,5390100,5783400,6897400,6142800,6506100,5004900,5921200,4061700,2242200,3935800,,,,,,,,,,,,,,,,,,,
BMRN,,,,,,,,,,,,,,,,,,,1546200,1192400,1132100,1099500,1501000,1033800,863600,783200,1288600,1336900,1224700,1399600,2314600,1402800,910800,1036500,1112200,1374000,2278700,875600,907100,1251800,1641400,1475300,1783300,1442800,1647800,770300,1480500,1195400,878800,1043400,2356100,1862600,1173900,820800,690300,725700,803300,962500,3827900,1230900,1130600,3444000,1082500,1225000,1232000,1287600,548300,937000,1142900,924200,965000,862600,1018200,830700,1284200,4738000,1995500,1695200,1251200,1265600,1580200,1489800,1175500,1329600,1574800,1528000,787300,357400,991700,926100,1559800,1261700,1114400,1782200,1368900,942700,878300,1019700,845500,1041000,,,,,,,,,,,,,,,,,,,,,
TXMD,,,,,,,,,,,,,,,,,,,,37900,44574,45848,57482,35922,36188,53544,91214,37458,27392,30688,34326,38840,41280,25070,19150,25958,30564,46168,62388,49922,88626,41896,36274,55092,60068,73842,88620,55100,29958,36884,39856,26396,46934,54116,40946,67858,157982,47164,90636,106044,361344,113848,80046,62436,166672,199502,117104,95928,73024,68496,64320,45590,146036,44730,52130,41228,48016,69474,48546,44466,38576,52932,78400,41872,16202,24946,27428,28028,34422,22844,23502,27538,23070,19726,17510,32116,27640,24242,36694,32856,30676,45442,,,,,,,,,,,,,,,,,,,
PPBT,,,,,,,,,,,,,,,,,,,9440,7440,9200,6130,5080,2550,5330,1970,7650,31740,13140,9250,9690,16340,14610,7220,7390,12730,5580,4180,6120,9230,10610,19130,11330,42430,8140,16220,8360,72820,190840,36040,49180,28710,19260,24660,63370,33420,80770,60670,103060,110480,972760,504860,117470,87520,342310,81020,43160,32260,54420,36930,35960,39580,21410,26180,29240,19510,9200,17480,7880,18000,25630,12350,47340,10520,17710,35360,10310,17450,8200,21300,3410,24150,17630,15200,10310,6210,17070,55620,7730,13800,16690,,,,,,,,,,,,,,,,,,,,
