Company,60B,59B,58B,57B,56B,55B,54B,53B,52B,51B,50B,49B,48B,47B,46B,45B,44B,43B,42B,41B,40B,39B,38B,37B,36B,35B,34B,33B,32B,31B,30B,29B,28B,27B,26B,25B,24B,23B,22B,21B,20B,19B,18B,17B,16B,15B,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A
IONS,,,,,,,,,,,,,,,,,,,,843600,960100,524500,297600,450200,968500,906100,717700,755300,687300,550100,581300,548000,479400,745500,928900,777200,1292500,720800,588700,793200,741600,932900,719500,691600,524000,600900,1407300,1543000,1239700,2341600,1226600,1065600,960400,794600,712600,830700,1048100,1030500,1199800,2031400,2671900,6119200,1817000,908300,556800,1448200,876200,1020400,775500,932700,630700,869200,964800,844900,1762000,1481400,653400,702000,1728000,1002900,2152400,864700,718600,942700,865000,1094100,1372500,1202700,818900,3512300,1650900,1460600,1343000,911700,749900,873600,708900,534600,837500,1052200,1930000,1374100,1131900,,,,,,,,,,,,,,,,,,
XOMA,,,,,,,,,,,,,,,,,,,177200,192500,44000,52500,75100,45900,73700,261800,54700,33200,118200,51000,54900,49500,62100,52200,79100,90800,41400,80700,47200,47400,40300,84800,91600,54200,303500,73200,43200,53900,46000,37200,46100,33700,30100,24400,188100,70400,126900,38000,31500,28400,225100,312200,74500,111100,97000,178500,55000,193700,100000,86900,70400,68000,46400,70000,117800,471100,88900,111900,185100,258400,96100,72100,53300,100100,84100,77400,86200,115200,65400,74700,70400,45300,82200,75900,91000,91200,78900,56400,71200,114000,,,,,,,,,,,,,,,,,,,,,
AQST,,,,,,,,,,,,,,,,,197600,202200,164200,252600,705900,199400,174000,74000,72600,84200,143000,79200,136800,178400,136700,73600,97500,108000,53900,85500,59100,33500,235900,135700,74200,65000,52600,42100,128900,36900,30100,12200,49300,144200,157600,132700,48000,82300,73900,47500,23200,16200,21900,27800,72100,44300,97600,771800,156900,355600,277000,241700,76400,115900,157800,123000,196000,72200,109500,77200,102400,133200,87500,154900,121800,307700,164700,438600,63000,51900,114600,88500,170900,75400,84900,132100,195300,64500,141800,52700,54300,102100,,,,,,,,,,,,,,,,,,,,,,,
ALKS,,,,,,,,,,,,,,,,,,,,,925100,1471600,1052200,1001000,763200,767500,719800,1170100,1283600,986300,968400,1311600,1034800,1331000,479700,861500,955000,1196000,777700,741200,767700,874900,1078100,1088700,732600,796800,785100,691800,496900,833100,779900,1060700,663200,487100,548900,769900,716300,478600,706600,857000,767800,1153100,634100,764500,1219300,672300,1097300,670600,770100,1164600,970600,2017100,976000,602500,829900,851200,1251300,657700,983700,948800,787200,811600,773200,564700,627100,711800,508500,1128500,643400,1055000,761700,783900,613200,634200,925100,597800,725300,2190200,1567000,1058400,1124900,,,,,,,,,,,,,,,,,,,,
ZVRA,,,,,,,,,,,,,,,,,,,,12300,5981,16556,19581,12106,12113,4981,7563,5756,4938,5050,3600,13713,10788,8050,6313,10731,16813,9463,8644,3969,13325,5925,6000,7400,9188,6025,10881,5300,2488,1725,2875,3706,2488,5963,5831,11019,10731,7238,11863,7831,7450,4306,5169,9106,5469,7138,3075,14931,7769,2800,4450,5869,6375,12756,15550,8994,9931,24688,10594,8681,28181,5050,6663,4169,5181,15075,20088,17538,14444,8713,3375,3700,8475,10344,12406,22438,6675,8444,23525,10169,25369,22288,16713,,,,,,,,,,,,,,,,,,
VNDA,,,,,,,,,,,,,,,,,,,,417700,1830200,526900,1045700,564800,609400,1039400,782400,636200,451900,538700,996000,678500,577200,693300,378400,288500,452000,547700,899600,660400,761700,826700,506800,632500,903200,453300,526600,712800,3528500,1634900,1078800,1108500,672200,1014100,661300,638200,409400,629500,430800,525000,1021200,824100,682200,626800,584900,722100,503300,703600,509600,538300,800000,663000,559200,547300,341900,807800,617400,655100,545700,765200,683700,599000,563600,1023400,542700,950300,1118300,740300,538100,514800,757600,334900,391000,501000,391600,442600,391300,363900,288400,417500,650600,478000,605800,,,,,,,,,,,,,,,,,,
ASRT,,,,,,,,,,,,,,,,,,,,333375,273650,302300,211325,160450,177375,195800,232450,147500,167400,374875,274100,839850,391850,359575,287375,284475,213525,172175,228725,445750,258700,459175,267050,343975,252275,227600,261025,230775,140300,163075,281625,209425,124875,200850,134300,553950,368700,445975,644525,419175,1134475,508150,390825,209000,170150,187825,274350,101125,728700,639700,3626200,513425,657825,447350,357925,330500,346725,474975,282825,305025,334800,330675,260325,541275,474400,556950,998675,350150,117250,354825,342425,466425,478675,245950,170875,547425,455750,5070375,1076950,2170000,1163850,541175,896250,,,,,,,,,,,,,,,,,,
IGXT,,,,,,,,,,,,,,,,,,145400,2045400,1125800,673100,904100,904400,924000,729000,586400,2648100,2304500,620700,826200,636200,2046000,416100,284200,810600,292500,835200,713200,385500,311200,315500,165400,197900,649100,495300,461700,595000,507000,296800,1377600,578000,376000,911300,913700,392500,413200,831400,697500,860700,992400,7175200,2269000,865700,382700,614700,346500,281400,372000,210800,320700,295000,378100,213300,333400,157600,427600,812900,643300,248200,454200,247500,301000,410800,231500,113700,223400,166200,154100,169200,262100,388200,212100,202600,258800,304800,244500,273700,401400,242700,452800,,,,,,,,,,,,,,,,,,,,,
UTHR,,,,,,,,,,,,,,,,,,,,997700,644400,530700,555100,297600,1257200,672600,807000,571800,1510200,884200,1053200,1470500,793500,841600,714200,670600,633500,916600,516200,602200,542400,614600,583400,878200,724500,777200,794600,426600,453200,482500,589700,410900,608300,784200,624200,578300,603800,380400,1272200,474800,632500,760700,1345500,477400,901500,490300,386300,764700,310500,1028000,600400,355400,388800,686100,1045400,923500,654400,817300,679700,737600,480200,500000,543200,529700,841400,754000,1093900,446900,462700,463400,402100,552100,520100,527400,480200,543100,396800,1696300,435800,830800,540000,727400,770500,,,,,,,,,,,,,,,,,,
BPMC,,,,,,,,,,,,,,,,,,3117900,1472900,1320200,884200,1228400,1139200,703100,748500,522800,843400,825200,643200,682300,544100,362100,746000,1078900,555700,578500,821200,485900,433400,436600,626700,937600,372600,370100,412600,376500,422400,3810500,1601400,674100,655500,645800,610300,523500,406900,550400,1014700,885200,682300,556300,695500,668000,316000,519400,350800,529600,473200,694600,632300,828500,521900,628300,995800,689500,450900,374600,421400,384000,524100,370800,409300,283000,331200,260400,1070300,419000,553900,292500,407000,714000,329800,469700,598700,269900,376700,437600,458100,265400,219300,435900,,,,,,,,,,,,,,,,,,,,,
