,drugId,displayName,indication,company,country,probabilityOfSuccess,phase,startDate,endDate,successPercentage
0,72133,nogapendekin alfa,Bladder cancer,ImmunityBio Inc,US,95%,Phase 2,25-Jul-2014,02-Jun-2017,
1,72133,nogapendekin alfa,Bladder cancer,ImmunityBio Inc,US,95%,Phase 3,02-Jun-2017,11-May-2023,
2,72133,nogapendekin alfa,Bladder cancer,ImmunityBio Inc,US,95%,Pre-Reg,11-May-2023,09-Apr-2024,95%
3,72133,nogapendekin alfa,Bladder cancer,ImmunityBio Inc,US,95%,Reg,09-Apr-2024,,
4,90272,"immunoglobulin + hyaluronidase (immune deficiency/demyelinating polyneuropathy/multifocal motor neuropathy/chronic fatigue syndrome, Enhanze), Shire/Halozyme",Chronic inflammatory demyelinating polyneuropathy,Takeda Pharmaceutical Co Ltd,US,95%,Phase 3,15-Oct-2015,28-Feb-2023,
5,90272,"immunoglobulin + hyaluronidase (immune deficiency/demyelinating polyneuropathy/multifocal motor neuropathy/chronic fatigue syndrome, Enhanze), Shire/Halozyme",Chronic inflammatory demyelinating polyneuropathy,Takeda Pharmaceutical Co Ltd,US,95%,Pre-Reg,28-Feb-2023,24-Jan-2024,95%
6,90272,"immunoglobulin + hyaluronidase (immune deficiency/demyelinating polyneuropathy/multifocal motor neuropathy/chronic fatigue syndrome, Enhanze), Shire/Halozyme",Chronic inflammatory demyelinating polyneuropathy,Takeda Pharmaceutical Co Ltd,US,95%,Reg,24-Jan-2024,,
7,54730,sotatercept,Pulmonary artery hypertension,Merck & Co Inc,US,92%,Phase 2,13-Jun-2018,25-Jan-2021,
8,54730,sotatercept,Pulmonary artery hypertension,Merck & Co Inc,US,92%,Phase 3,25-Jan-2021,30-Jun-2023,
9,54730,sotatercept,Pulmonary artery hypertension,Merck & Co Inc,US,92%,Pre-Reg,30-Jun-2023,25-Mar-2024,92%
10,54730,sotatercept,Pulmonary artery hypertension,Merck & Co Inc,US,92%,Reg,25-Mar-2024,,
11,90233,odronextamab,Follicle center lymphoma,Regeneron Pharmaceuticals Inc,US,95%,Phase 1,09-Jan-2015,13-Nov-2019,
12,90233,odronextamab,Follicle center lymphoma,Regeneron Pharmaceuticals Inc,US,95%,Phase 2,13-Nov-2019,29-Sep-2023,
13,90233,odronextamab,Follicle center lymphoma,Regeneron Pharmaceuticals Inc,US,95%,Pre-Reg,29-Sep-2023,14-Apr-2024,95%
14,90233,odronextamab,Follicle center lymphoma,Regeneron Pharmaceuticals Inc,US,95%,Reg,14-Apr-2024,,
15,90233,odronextamab,Diffuse large B-cell lymphoma,Regeneron Pharmaceuticals Inc,US,95%,Phase 1,09-Jan-2015,13-Nov-2019,
16,90233,odronextamab,Diffuse large B-cell lymphoma,Regeneron Pharmaceuticals Inc,US,95%,Phase 2,13-Nov-2019,29-Sep-2023,
