,drugId,displayName,indication,company,country,probabilityOfSuccess,phase,startDate,endDate,successPercentage
2,51160,nintedanib,Interstitial lung disease,Boehringer Ingelheim International GmbH,US,95%,Phase 3,30-Apr-2011,25-Jul-2023,
3,51160,nintedanib,Interstitial lung disease,Boehringer Ingelheim International GmbH,US,95%,Pre-Reg,25-Jul-2023,18-Mar-2024,95%
4,51160,nintedanib,Interstitial lung disease,Boehringer Ingelheim International GmbH,US,95%,Reg,18-Mar-2024,,
16,55266,zolbetuximab,Metastatic stomach cancer,Astellas Pharma Inc,US,95%,Phase 3,31-Jan-2018,06-Jul-2023,
17,55266,zolbetuximab,Metastatic stomach cancer,Astellas Pharma Inc,US,95%,Pre-Reg,06-Jul-2023,26-Jan-2024,95%
18,55266,zolbetuximab,Metastatic stomach cancer,Astellas Pharma Inc,US,95%,Reg,26-Jan-2024,,
22,55266,zolbetuximab,Metastatic esophageal cancer,Astellas Pharma Inc,US,95%,Phase 3,31-Jan-2018,06-Jul-2023,
23,55266,zolbetuximab,Metastatic esophageal cancer,Astellas Pharma Inc,US,95%,Pre-Reg,06-Jul-2023,26-Jan-2024,95%
24,55266,zolbetuximab,Metastatic esophageal cancer,Astellas Pharma Inc,US,95%,Reg,26-Jan-2024,,
34,69095,capivasertib,Metastatic breast cancer,AstraZeneca PLC,US,95%,Phase 1,01-Dec-2010,11-Nov-2014,
35,69095,capivasertib,Metastatic breast cancer,AstraZeneca PLC,US,95%,Phase 2,11-Nov-2014,16-Apr-2020,
36,69095,capivasertib,Metastatic breast cancer,AstraZeneca PLC,US,95%,Phase 3,16-Apr-2020,12-Jun-2023,
37,69095,capivasertib,Metastatic breast cancer,AstraZeneca PLC,US,95%,Pre-Reg,12-Jun-2023,09-Apr-2024,95%
38,69095,capivasertib,Metastatic breast cancer,AstraZeneca PLC,US,95%,Reg,09-Apr-2024,,
50,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Breast tumor,Accord Healthcare Inc,US,95%,Pre-Reg,14-Feb-2023,10-Feb-2024,95%
51,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Breast tumor,Accord Healthcare Inc,US,95%,Reg,10-Feb-2024,,
52,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Esophagus tumor,Accord Healthcare Inc,US,95%,Pre-Reg,14-Feb-2023,03-Feb-2024,95%
53,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Esophagus tumor,Accord Healthcare Inc,US,95%,Reg,03-Feb-2024,,
54,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Metastatic breast cancer,Accord Healthcare Inc,US,95%,Pre-Reg,14-Feb-2023,10-Feb-2024,95%
55,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Metastatic breast cancer,Accord Healthcare Inc,US,95%,Reg,10-Feb-2024,,
56,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Metastatic stomach cancer,Accord Healthcare Inc,US,95%,Pre-Reg,14-Feb-2023,08-Feb-2024,95%
57,80976,"trastuzumab biosimilar, Shanghai Henlius/Jacobson Pharma",Metastatic stomach cancer,Accord Healthcare Inc,US,95%,Reg,08-Feb-2024,,
62,99330,sabizabulin,Coronavirus disease 19 infection,Veru Inc,US,93%,Phase 2,18-Jun-2020,10-May-2021,
63,99330,sabizabulin,Coronavirus disease 19 infection,Veru Inc,US,93%,Phase 3,10-May-2021,07-Jun-2022,
64,99330,sabizabulin,Coronavirus disease 19 infection,Veru Inc,US,93%,Pre-Reg,07-Jun-2022,05-Mar-2024,93%
65,99330,sabizabulin,Coronavirus disease 19 infection,Veru Inc,US,93%,Reg,05-Mar-2024,,
